,eps_values,Clusters,Noise_points,Homogenity,V_Measure,Silhouette
0,1.0,308,1931,0.2871762593873131,0.4462112430880399,0.24761086843461536
1,1.01,309,1918,0.2875573477070906,0.4466711299798473,0.248150272363943
2,1.02,310,1903,0.28794647499708564,0.44714043725728153,0.24843758878505598
3,1.03,313,1887,0.2885382506799765,0.44785360547536956,0.2488962974235568
4,1.04,319,1866,0.2893799600814753,0.44886684924619036,0.2504449998139181
5,1.05,322,1851,0.2900062818826624,0.4496199529500292,0.25089829552376136
6,1.06,320,1840,0.290209199166543,0.4498637885298199,0.2512126159777354
7,1.07,319,1829,0.29046182401358966,0.45016724804798386,0.25182071432506753
8,1.08,320,1821,0.2906369831013073,0.450377583947622,0.2520010158418031
9,1.09,318,1813,0.29072376031505615,0.4504817672901483,0.2537413363745951
10,1.1,317,1795,0.2911872784530389,0.45103802262040255,0.2548945959716805
11,1.11,319,1784,0.29164250474686576,0.4515839385512037,0.25544333197280084
12,1.12,323,1772,0.29215760228914905,0.45220118934651793,0.25570392276827886
13,1.1300000000000001,321,1760,0.2923043508708466,0.4523769507916168,0.2551028249038756
14,1.1400000000000001,322,1748,0.29282406961607615,0.4529990994103857,0.2555131275523769
15,1.1500000000000001,318,1735,0.29279302708540345,0.452961952843301,0.2566036560535203
16,1.1600000000000001,317,1728,0.29291881318765317,0.4531124618188059,0.2566980134300947
17,1.1700000000000002,319,1715,0.2932331072944063,0.45348840149612935,0.2567446583369703
18,1.1800000000000002,317,1706,0.2932818239748577,0.4535466570982432,0.25654245304035833
19,1.1900000000000002,319,1696,0.2937295011052442,0.45408178580500574,0.25699393217950867
20,1.2000000000000002,320,1683,0.2940709531179502,0.45448968993456207,0.25774221608649955
21,1.2100000000000002,315,1677,0.2938366455888112,0.45420980552779017,0.25835386862229154
22,1.2200000000000002,320,1661,0.2945962177163954,0.4551167594727702,0.2590734408920334
23,1.2300000000000002,316,1656,0.2944769999026425,0.45497447992477297,0.25928161600449423
24,1.2400000000000002,318,1643,0.2949841424545252,0.45557954384740107,0.259705701134256
25,1.2500000000000002,320,1633,0.29542682056502834,0.4561073089966928,0.2598499972355159
26,1.2600000000000002,318,1623,0.2955685607664921,0.4562762168165397,0.2601476633396338
27,1.2700000000000002,317,1614,0.29569948759242615,0.4564322058070321,0.2606518930401907
28,1.2800000000000002,317,1599,0.2961029411123488,0.45691269068215473,0.26054711802272734
29,1.2900000000000003,317,1596,0.29621467513301136,0.45704570518400467,0.26079796952920187
30,1.3000000000000003,318,1588,0.29649113345666256,0.45737471827696585,0.2610101237728987
31,1.3100000000000003,316,1580,0.2965076798900357,0.4573944057395545,0.2626665486631578
32,1.3200000000000003,313,1575,0.29651585515091783,0.4574041327345012,0.2626541002234836
33,1.3300000000000003,314,1569,0.2967082344002836,0.457632991800208,0.2627117848221397
34,1.3400000000000003,316,1561,0.2970788269328568,0.45807366640213465,0.2631809666645193
35,1.3500000000000003,318,1549,0.2976002246396845,0.4586932384699943,0.26466209502787286
36,1.3600000000000003,320,1537,0.2980984816515094,0.4592848475906894,0.2652815795817708
37,1.3700000000000003,281,1531,0.25435588589739827,0.40555617230659474,0.21592871829624563
38,1.3800000000000003,231,1515,0.20325046664388463,0.33783567474657605,0.20080129552594586
39,1.3900000000000003,213,1492,0.20177898013112516,0.3358004815646039,0.20235137782543
40,1.4000000000000004,203,1469,0.20062018748476024,0.3341942598933799,0.2066662864725723
41,1.4100000000000004,201,1444,0.2009304581212749,0.334624635027758,0.21303175312039255
42,1.4200000000000004,191,1433,0.2005213268301179,0.3340570839496516,0.21662008340122405
43,1.4300000000000004,181,1417,0.1999179326036005,0.33321934304259543,0.22262648626856027
44,1.4400000000000004,176,1405,0.1995962471605228,0.33277237676088534,0.22315775848288563
45,1.4500000000000004,174,1396,0.1992663287454492,0.3323137220969114,0.2232337623286834
46,1.4600000000000004,167,1383,0.19877825968909185,0.3316347424262529,0.23194625369396896
47,1.4700000000000004,167,1366,0.19910370531373345,0.33208754911092525,0.2321917563027527
48,1.4800000000000004,164,1351,0.19887949576042657,0.3317756229274421,0.23598752856749858
49,1.4900000000000004,164,1336,0.19916305212939792,0.33217009442667,0.23610322673439316
